Sector,Stock_Name,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019,5/31/2019,6/28/2019,7/31/2019,8/30/2019,9/30/2019,10/31/2019,11/29/2019,12/31/2019,1/31/2020,2/28/2020,3/31/2020,4/30/2020,5/29/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/30/2020,11/30/2020,12/31/2020,1/29/2021,2/26/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/30/2021,8/31/2021,9/30/2021,10/29/2021,11/30/2021,12/17/2021
Communication Services,BAIDU INC - SPON ADR,"251,840.00","275,901.00","282,076.00","330,914.00","381,430.00","432,600.00","462,525.00","471,835.00","396,861.00","311,821.00","278,262.00",,,,,,,,,,,,,,,,,"1,705,504.00","2,717,183.00","3,078,441.00","3,337,466.00","3,429,677.00",,,,,,,,
Communication Services,DOUYU INTERNATIONAL HOLD-ADR,,,,,,,,,,,,,,,,,,,,,,,,,,"4,209,071.00","838,607.00",,,,,,,,,,,,,
Communication Services,EVENTBRITE INC-CLASS A,,,,,,,"320,561.00","689,791.00","920,397.00","915,313.00","910,226.00","933,105.00","935,650.00","920,397.00","921,668.00","945,834.00","978,904.00","400,466.00",,,,,,,,,,,,,,,,,,,,,,
Communication Services,HUYA INC-ADR,,,,,,,,,,,,,,,,,,,,,,,"2,955,435.00","3,831,732.00","4,245,085.00","4,671,694.00","5,100,499.00","6,248,432.00","6,833,849.00","6,610,022.00","6,022,626.00","5,618,054.00","1,881,050.00",,,,,,,
Communication Services,IRIDIUM COMMUNICATIONS INC,,,,,,,,,,,,,,,,,"13,555.00","795,170.00","1,056,998.00","1,236,708.00","1,682,024.00","2,363,607.00","2,695,794.00","3,079,192.00","3,051,732.00","3,533,522.00","3,857,825.00","4,725,968.00","5,472,714.00","7,153,609.00","7,403,902.00","8,137,299.00","8,322,984.00","8,537,457.00","8,319,135.00","8,124,040.00","7,296,002.00","6,783,390.00","6,662,671.00","6,599,398.00"
Communication Services,META PLATFORMS INC-CLASS A,,,,,,,,,,"85,965.00","45,446.00",,,,,,,,,,,,,"302,092.00","305,233.00","335,885.00",,,,,,,,,,,,,,
Communication Services,NETFLIX INC,"95,067.00","110,251.00","132,783.00","128,869.00","118,819.00","99,203.00","89,255.00","68,188.00","47,240.00","46,980.00","60,138.00","61,650.00","61,818.00","77,299.00","58,268.00","79,901.00","120,673.00","112,832.00",,,,,,,,,,,,,,,,,,,,,,
Communication Services,NINTENDO CO LTD-UNSPONS ADR,,,,,,,,,,,,,,,,,,,,,,,,"432,151.00","958,959.00","1,092,216.00","2,248,649.00","3,040,161.00","4,003,107.00","4,708,848.00","4,654,763.00","4,783,522.00","3,789,873.00","3,887,560.00","3,576,384.00","2,138,164.00","372,533.00",,,
Communication Services,PINTEREST INC- CLASS A,,,,,,,,,,,,,,,"828,726.00","850,448.00","1,121,472.00","1,974,423.00","3,040,921.00","3,557,883.00","3,863,186.00","4,448,383.00","3,053,164.00","3,487,381.00","2,560,212.00","2,432,633.00","1,816,114.00","2,224,840.00","2,863,301.00","710,472.00",,,,,,,,,,
Communication Services,ROBLOX CORP -CLASS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"698,415.00"
Communication Services,ROKU INC,,,,,,,,,,,,,"152,092.00","253,277.00","303,482.00","410,754.00","528,115.00","721,478.00","1,020,224.00","1,129,089.00","1,507,416.00","2,104,423.00","2,361,805.00","2,424,341.00","2,493,393.00","2,597,402.00","3,012,285.00","3,690,088.00","3,901,096.00","3,431,997.00","3,676,750.00","3,372,164.00","3,515,081.00","3,605,633.00","2,982,667.00","3,290,831.00","3,471,739.00","3,569,797.00","4,407,016.00","4,449,193.00"
Communication Services,SEA LTD-ADR,,,,,,,,,,,,,,,,,,,,,,,,"260,449.00","288,469.00","317,434.00","346,487.00","853,192.00","1,249,461.00","1,116,921.00","1,517,216.00","1,391,290.00","1,381,489.00","1,417,063.00","1,362,250.00","857,016.00","270,397.00",,,
Communication Services,SKILLZ INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,161,620.00","15,427,977.00","15,825,457.00","13,748,010.00","13,425,570.00","11,897,118.00","13,337,175.00","16,423,459.00","16,267,480.00"
Communication Services,SNAP INC - A,,,,,,,,,,,,,,,,,,,,,,,"3,274,807.00","39,976.00",,,,,,"100,343.00",,,,,,,,,,
Communication Services,SPOTIFY TECHNOLOGY SA,"117,560.00","124,647.00","186,505.00","181,009.00","185,893.00","222,277.00","237,623.00","292,254.00","310,872.00","281,239.00","233,280.00","107,803.00",,,,,,,,,"94,614.00","208,534.00","342,559.00","463,129.00","728,292.00","985,748.00","1,258,512.00","1,541,647.00","1,974,300.00","2,779,538.00","2,569,326.00","3,046,480.00","3,109,216.00","3,415,434.00","3,485,591.00","3,403,839.00","3,261,702.00","3,085,331.00","3,030,395.00","3,001,619.00"
Communication Services,TENCENT HOLDINGS LTD-UNS ADR,"1,128,402.00","1,389,316.00","1,484,657.00","1,160,258.00","1,110,026.00","1,081,590.00","1,033,461.00","898,490.00","745,887.00","741,767.00","737,645.00","416,062.00","375,017.00","368,907.00","369,417.00","379,107.00","898,583.00","718,326.00",,,,,,,"657,797.00","723,951.00","1,456,627.00","2,623,510.00","5,899,546.00","5,243,135.00","3,142,700.00","3,229,529.00","2,840,949.00","2,914,155.00",,,,,,
Communication Services,TWITTER INC,"2,087,139.00","1,868,139.00","1,830,756.00","1,736,965.00","1,784,001.00","2,420,021.00","2,587,556.00","2,157,909.00","1,627,050.00","1,618,062.00","1,482,527.00","909,167.00","702,621.00","884,521.00","1,112,282.00","1,418,486.00","1,468,068.00","1,907,794.00","426,423.00",,,,,,,,,,,"3,122,379.00","3,987,181.00","4,491,079.00","6,581,925.00","6,751,465.00","8,291,547.00","7,571,222.00","7,895,326.00","10,136,310.00","9,955,893.00","10,478,989.00"
Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Discretionary,2U INC,,,"203,548.00","230,564.00","247,420.00","234,173.00","227,172.00","327,631.00","716,076.00","762,559.00","2,543,625.00","3,178,627.00","3,059,707.00","3,009,815.00","3,013,971.00","3,092,971.00","3,453,424.00","3,557,919.00","4,020,607.00","5,192,330.00","5,134,773.00","5,828,347.00","6,130,964.00","7,043,432.00","8,191,721.00","8,146,670.00","8,120,745.00","8,058,045.00","8,001,808.00","7,739,771.00","7,052,067.00","6,578,346.00","6,031,183.00","5,687,345.00","5,156,616.00","4,828,585.00","5,054,992.00","5,212,512.00","5,308,821.00","5,347,798.00"
Consumer Discretionary,AMAZON.COM INC,"13,365.00","17,924.00","18,314.00","17,774.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Discretionary,APTIV PLC,"352,448.00","345,892.00","187,662.00",,,,,,,,,"237,065.00","237,711.00","233,835.00","234,158.00",,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Discretionary,DRAFTKINGS INC - CL A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,063,930.00","3,895,841.00","8,062,661.00","8,983,913.00","9,562,144.00","10,080,302.00","10,816,556.00","10,899,749.00","12,339,331.00","12,222,083.00"
Consumer Discretionary,JD.COM INC-ADR,"1,491,282.00","1,333,447.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Discretionary,MERCADOLIBRE INC,"42,594.00",,,,,,,,,,,,"14,770.00","29,224.00","47,309.00","48,544.00","36,380.00","35,197.00",,,,,,,,,,,,,,,,,,,,,,
Consumer Discretionary,TESLA INC,"458,479.00","439,837.00","310,238.00","261,961.00","382,366.00","409,733.00","502,679.00","708,349.00","801,288.00","796,866.00","792,438.00","812,363.00","814,577.00","560,420.00","519,973.00","471,594.00","312,541.00","300,422.00","399,087.00","437,302.00","438,837.00","477,078.00","409,529.00","1,829,160.00","2,291,542.00","2,521,820.00","2,421,715.00","2,700,216.00","2,726,469.00","3,498,806.00","3,640,829.00","3,436,145.00","3,498,840.00","3,594,150.00","3,500,833.00","3,277,680.00","2,548,748.00","2,154,922.00","1,669,654.00","1,299,025.00"
Financials,COINBASE GLOBAL INC -CLASS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,839,297.00","3,179,774.00","3,684,714.00","4,263,190.00","4,163,222.00","4,339,884.00","3,960,351.00","3,550,617.00","3,258,104.00"
Financials,INTERCONTINENTAL EXCHANGE IN,157,157,,,,,,,,,,,,,,,,,,,,,,"570,234.00","845,529.00","1,383,151.00","1,510,096.00","2,596,305.00","3,006,628.00","3,291,794.00","2,508,227.00","2,024,919.00","877,095.00","96,571.00",,,,,,
Financials,LENDINGCLUB CORP,"9,343,325.00","8,912,043.00","9,111,813.00","9,425,979.00","10,567,447.00","10,902,936.00","11,657,768.00","11,892,605.00","11,840,822.00","11,775,404.00","2,341,992.00","2,400,871.00","2,407,416.00","2,368,164.00","2,371,434.00","2,433,591.00","2,518,647.00","3,053,334.00","3,377,721.00","2,832,535.00","1,697,087.00","337,206.00","1,073.00","1,341.00",,,,,,,,,,,,,,,,
Financials,LENDINGTREE INC,"57,930.00","93,704.00","96,831.00","115,040.00","93,446.00","88,865.00","94,985.00","71,236.00","44,711.00","40,464.00","49,373.00","106,900.00","128,461.00","126,374.00","116,895.00","156,802.00","162,288.00","206,137.00","272,771.00","410,044.00","485,468.00","579,913.00","649,137.00","733,572.00","834,480.00","905,061.00","1,089,413.00","1,224,647.00","1,216,100.00","1,176,311.00","1,009,404.00","941,555.00",,,,,,,,
Financials,ROBINHOOD MARKETS INC - A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,914,748.00","4,799,468.00","5,563,969.00","8,818,518.00","10,482,377.00","12,554,622.00"
Health Care,10X GENOMICS INC-CLASS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,430,701.00","1,863,288.00","1,980,517.00","2,296,655.00","2,699,897.00","2,769,477.00","2,409,361.00","2,187,233.00","2,095,892.00","2,112,011.00","2,074,400.00","2,054,699.00"
Health Care,BEAM THERAPEUTICS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,208.00","1,309,083.00","2,987,939.00","3,876,714.00","4,602,928.00","4,721,508.00","4,670,285.00","4,877,061.00","4,704,597.00","5,610,967.00","5,978,354.00","5,935,660.00"
Health Care,BERKELEY LIGHTS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,202,783.00","2,409,748.00","3,521,591.00","3,612,339.00","3,472,513.00","4,304,742.00","4,631,440.00","4,667,053.00","4,583,998.00","4,594,255.00"
Health Care,BLUEBIRD BIO INC,"203,160.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care,CELLECTIS - ADR,,,,"56,268.00","60,353.00","62,253.00","66,528.00","62,590.00","63,910.00","63,558.00","54,804.00","38,147.00","38,253.00","37,629.00",,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care,CERUS CORP,"4,037,727.00","3,962,578.00","4,051,400.00","3,909,010.00","4,195,349.00","4,328,537.00","4,628,195.00","4,721,421.00","5,284,402.00","5,255,206.00","5,226,002.00","5,357,385.00","5,371,987.00","5,284,400.00","5,291,697.00","5,430,393.00","6,382,199.00","7,033,870.00","8,333,507.00","10,232,441.00","11,770,320.00","13,553,209.00","15,457,670.00","17,562,066.00","19,385,983.00","19,279,363.00","19,218,009.00","19,069,641.00","18,936,575.00","18,316,377.00","16,688,873.00","15,567,763.00","14,272,883.00","13,459,063.00","12,202,803.00","11,426,404.00","10,481,592.00","10,224,742.00","10,042,759.00","9,947,290.00"
Health Care,COMPUGEN LTD,"4,199,903.00","4,162,612.00","4,261,254.00","4,218,121.00","4,527,117.00","4,670,837.00","4,994,206.00","5,094,810.00","5,202,597.00","5,173,853.00","5,145,102.00","5,274,459.00","5,288,837.00","5,202,605.00","5,199,283.00","5,335,556.00","5,453,979.00","5,531,142.00","5,894,823.00","6,871,341.00","7,669,020.00","8,656,392.00","9,872,785.00","11,276,847.00","11,068,880.00","10,975,110.00","10,940,184.00","10,855,726.00","9,962,980.00","9,636,650.00","8,780,311.00","8,190,390.00","7,509,098.00","7,080,885.00","6,419,980.00","6,011,522.00","5,514,418.00","5,379,260.00","5,283,521.00","5,233,290.00"
Health Care,CRISPR THERAPEUTICS AG,"749,711.00","768,129.00","785,341.00","603,888.00","890,944.00","919,224.00","1,026,696.00","1,337,278.00","1,448,500.00","1,440,502.00","1,382,402.00","1,383,544.00","1,430,296.00","1,639,415.00","1,560,358.00","1,508,470.00","1,674,416.00","2,081,946.00","2,263,909.00","2,566,352.00","3,041,474.00","3,639,281.00","4,091,443.00","4,668,857.00","5,172,495.00","5,692,205.00","6,214,610.00","6,384,590.00","6,030,285.00","5,832,770.00","5,314,530.00","4,957,556.00","4,904,794.00","5,072,694.00","4,876,394.00","4,914,635.00","4,866,314.00","5,931,607.00","5,986,386.00","6,028,329.00"
Health Care,EDITAS MEDICINE INC,"1,333,938.00","1,309,113.00","1,338,452.00","1,451,676.00","2,123,737.00","2,191,157.00","2,342,852.00","2,355,998.00","2,405,840.00","2,639,712.00","2,625,043.00","2,691,032.00","2,698,369.00","2,454,266.00","2,364,016.00","2,390,300.00","2,473,842.00","2,748,928.00","3,012,959.00","3,498,395.00","4,117,326.00","4,740,957.00","5,712,794.00","6,525,259.00","7,202,948.00","7,163,334.00","7,140,537.00","6,772,555.00","6,611,519.00","6,394,979.00","5,826,793.00","5,435,312.00","4,983,229.00","4,699,126.00","4,279,930.00","4,279,184.00","3,967,003.00","3,997,513.00","3,926,365.00","2,702,691.00"
Health Care,EXACT SCIENCES CORP,,,,,,,,,,,,,,,,,,,,,,,,,,"981,812.00","1,738,989.00","2,711,424.00","3,370,469.00","4,186,954.00","4,683,682.00","5,310,280.00","5,554,604.00","5,875,564.00","6,356,385.00","6,564,569.00","6,621,781.00","6,672,703.00","8,126,061.00","8,048,874.00"
Health Care,FATE THERAPEUTICS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"540,406.00","1,336,762.00","2,780,298.00","3,126,005.00","3,372,041.00","3,459,085.00","4,448,004.00","5,903,693.00","6,077,594.00","6,124,331.00","6,015,320.00","5,958,161.00"
Health Care,GINKGO BIOWORKS HOLDINGS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,146,865.00","11,378,949.00","19,892,004.00","19,537,883.00","23,957,298.00"
Health Care,ILLUMINA INC,"110,567.00","142,791.00","176,819.00","158,532.00","220,209.00","227,189.00","242,894.00","303,721.00","310,141.00","276,696.00","363,550.00","372,695.00","373,711.00","386,017.00","386,550.00","396,677.00","469,789.00","523,263.00","578,856.00","555,237.00","512,096.00","518,146.00","573,972.00","740,640.00","594,117.00","101,493.00",,,,,,,,,,,,,,
Health Care,INTELLIA THERAPEUTICS INC,"3,330,693.00","3,490,057.00","3,801,276.00","3,925,919.00","4,290,557.00","4,426,765.00","4,733,218.00","4,753,739.00","4,854,296.00","4,827,480.00","4,800,658.00","4,921,347.00","4,934,760.00","4,854,301.00","4,861,005.00","4,963,230.00","5,136,704.00","5,463,602.00","6,044,033.00","7,058,132.00","7,058,132.00","6,998,132.00","6,965,670.00","6,965,670.00","6,882,332.00","6,844,482.00","6,654,627.00","6,603,257.00","6,413,936.00","6,203,912.00","5,652,634.00","5,272,940.00","4,834,363.00","4,558,680.00","4,152,036.00","4,268,788.00","4,006,705.00","4,549,110.00","4,850,444.00","5,032,327.00"
Health Care,INVITAE CORP,"5,435,118.00","5,180,067.00","5,186,844.00","5,049,841.00","5,268,167.00","5,151,573.00","5,041,487.00","4,737,886.00","5,522,241.00","5,491,735.00","4,415,151.00","3,998,388.00","4,242,399.00","4,928,376.00","5,253,402.00","5,683,069.00","6,042,795.00","7,428,964.00","9,393,524.00","11,931,981.00","13,080,224.00","14,744,375.00","14,951,785.00","17,078,145.00","18,043,154.00","17,654,665.00","17,598,486.00","17,462,614.00","17,340,761.00","16,772,865.00","15,282,622.00","14,256,050.00","13,865,967.00","13,075,448.00","11,855,181.00","12,666,450.00","15,566,006.00","15,685,704.00","16,702,533.00","16,715,338.00"
Health Care,IOVANCE BIOTHERAPEUTICS INC,,,,,,,,,,,,,,,,,,"278,830.00",,,,"2,208,239.00","3,843,729.00","4,503,680.00","4,989,483.00","6,255,472.00","6,743,742.00","8,632,474.00","9,996,521.00","10,944,280.00","11,327,210.00","11,332,894.00","11,311,137.00","10,666,212.00","8,489,319.00","6,629,637.00","5,320,170.00","5,361,105.00","5,265,691.00","4,514,521.00"
Health Care,MEDIDATA SOLUTIONS INC,"304,188.00","436,262.00","492,881.00","401,715.00","412,814.00","466,836.00","453,595.00","369,680.00","230,614.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
